"","x.state","sex","x.race.g1","diabete3"
"1.29.2",29,2,1,0.129842706884089
"2.29.2",29,2,2,0.145055085220301
"3.29.2",29,2,3,0.229175320706473
"4.29.2",29,2,4,0.0917896410774515
"5.29.2",29,2,5,0.174571723075953
"1.30.2",30,2,1,0.0880698755923475
"2.30.2",30,2,2,0.212533521533956
"3.30.2",30,2,3,0.0430653391722531
"4.30.2",30,2,4,0.180781660245777
"5.30.2",30,2,5,0.131486922907791
"1.31.2",31,2,1,0.1183627000929
"2.31.2",31,2,2,0.246097858337503
"3.31.2",31,2,3,0.15084991464128
"4.31.2",31,2,4,0.126347414965786
"5.31.2",31,2,5,0.179698505924052
"1.32.2",32,2,1,0.124984199912404
"2.32.2",32,2,2,0.180868362766004
"3.32.2",32,2,3,0.188385846067571
"4.32.2",32,2,4,0.160189685988673
"5.32.2",32,2,5,0.0730228132179637
"1.33.2",33,2,1,0.112951706154681
"2.33.2",33,2,2,0.276046580531064
"3.33.2",33,2,3,0.065192014753969
"4.33.2",33,2,4,0.0337393607144333
"5.33.2",33,2,5,0.0731192950677094
"1.34.2",34,2,1,0.101899833192596
"2.34.2",34,2,2,0.155035588651956
"3.34.2",34,2,3,0.183969894953239
"4.34.2",34,2,4,0.0984684003654065
"5.34.2",34,2,5,0.240812281193408
"1.35.2",35,2,1,0.11178207887538
"2.35.2",35,2,2,0.109631826756856
"3.35.2",35,2,3,0.182025843080759
"4.35.2",35,2,4,0.140204345054769
"5.35.2",35,2,5,0.0664508933922097
"1.36.2",36,2,1,0.0934889768909758
"2.36.2",36,2,2,0.17181598273904
"3.36.2",36,2,3,0.166128072822095
"4.36.2",36,2,4,0.126447248576559
"5.36.2",36,2,5,0.28582570424772
"1.37.2",37,2,1,0.125311287119212
"2.37.2",37,2,2,0.179837948618303
"3.37.2",37,2,3,0.164445937794056
"4.37.2",37,2,4,0.133649657076626
"5.37.2",37,2,5,0.226477158542805
"1.38.2",38,2,1,0.0875982299152115
"2.38.2",38,2,2,0.0540089375289609
"3.38.2",38,2,3,0.164423226268545
"4.38.2",38,2,4,0.220064886713238
"5.38.2",38,2,5,0.0959785207304696
"1.39.2",39,2,1,0.143050880747264
"2.39.2",39,2,2,0.13174897862234
"3.39.2",39,2,3,0.183700794022625
"4.39.2",39,2,4,0.0680885470013195
"5.39.2",39,2,5,0.157505427607402
"1.40.2",40,2,1,0.129235872964032
"2.40.2",40,2,2,0.172036430413181
"3.40.2",40,2,3,0.136164488329913
"4.40.2",40,2,4,0.142481324484512
"5.40.2",40,2,5,0.180459649432417
"1.41.2",41,2,1,0.130165064799912
"2.41.2",41,2,2,0.170954884448327
"3.41.2",41,2,3,0.22685197424176
"4.41.2",41,2,4,0.169561993799721
"5.41.2",41,2,5,0.140623570493724
"1.42.2",42,2,1,0.144080968446882
"2.42.2",42,2,2,0.177179733634016
"3.42.2",42,2,3,0.0664166739546693
"4.42.2",42,2,4,0.0462162181624874
"5.42.2",42,2,5,0.129702156649815
"1.44.2",44,2,1,0.115002202599121
"2.44.2",44,2,2,0.166362400548279
"3.44.2",44,2,3,0.110273460358446
"4.44.2",44,2,4,0.0663994650556347
"5.44.2",44,2,5,0.0899317054160597
"1.45.2",45,2,1,0.128531663787571
"2.45.2",45,2,2,0.221200956374561
"3.45.2",45,2,3,0.110883257269373
"4.45.2",45,2,4,0.11229682741239
"5.45.2",45,2,5,0.153193882857668
"1.46.2",46,2,1,0.0809928160236426
"2.46.2",46,2,2,0.275805114587795
"3.46.2",46,2,3,0.0633645344847124
"4.46.2",46,2,4,0.183976510864442
"5.46.2",46,2,5,0.170946227141512
"1.47.2",47,2,1,0.152966770864862
"2.47.2",47,2,2,0.209064837356789
"3.47.2",47,2,3,0.168320388618784
"4.47.2",47,2,4,0.260380580821043
"5.47.2",47,2,5,0.382922097608364
"1.48.2",48,2,1,0.12471190021527
"2.48.2",48,2,2,0.155394538391325
"3.48.2",48,2,3,0.177986306837573
"4.48.2",48,2,4,0.063116549320986
"5.48.2",48,2,5,0.167499303502214
"1.49.2",49,2,1,0.118967549147792
"2.49.2",49,2,2,0.260224517575627
"3.49.2",49,2,3,0.11587686166077
"4.49.2",49,2,4,0.210816856422868
"5.49.2",49,2,5,0.113009041278278
"1.50.2",50,2,1,0.0989672099741683
"2.50.2",50,2,2,0.0530618343147537
"3.50.2",50,2,3,0.139238528769694
"4.50.2",50,2,4,0.0697568162998395
"5.50.2",50,2,5,0.224875094036919
"1.51.2",51,2,1,0.134294160114616
"2.51.2",51,2,2,0.182592888799346
"3.51.2",51,2,3,0.081509859322553
"4.51.2",51,2,4,0.0749429551414113
"5.51.2",51,2,5,0.0853979388595388
"1.53.2",53,2,1,0.118465379317201
"2.53.2",53,2,2,0.147870462621564
"3.53.2",53,2,3,0.145392763804128
"4.53.2",53,2,4,0.0869327020813413
"5.53.2",53,2,5,0.102116061539581
"1.54.2",54,2,1,0.166793403079201
"2.54.2",54,2,2,0.196581761116052
"3.54.2",54,2,3,0.0678836214030066
"4.54.2",54,2,4,0.124019243564116
"5.54.2",54,2,5,0.202479401167745
"1.55.2",55,2,1,0.0894907742871325
"2.55.2",55,2,2,0.134430205979067
"3.55.2",55,2,3,0.0554396538751399
"4.55.2",55,2,4,0.0455697864119829
"5.55.2",55,2,5,0.0426604297177326
"1.56.2",56,2,1,0.097512477263533
"2.56.2",56,2,2,0.109006040329684
"3.56.2",56,2,3,0.108970225200705
"4.56.2",56,2,4,0.15463178071513
"5.56.2",56,2,5,0.279892748069887
"1.66.2",66,2,1,0.0542966232345876
"2.66.2",66,2,2,0
"3.66.2",66,2,3,0.183408923637029
"4.66.2",66,2,4,0.150702406018833
"5.66.2",66,2,5,0.102026995203582
"1.72.2",72,2,1,0.00239219881792109
"2.72.2",72,2,2,0.258568639658162
"3.72.2",72,2,3,0.172220045883308
