"","fips","sex","x.race.g1","x.rfbmi5"
"1.8.2",8,2,1,0.461552347554833
"2.8.2",8,2,2,0.691969026597928
"3.8.2",8,2,3,0.623470983237181
"4.8.2",8,2,4,0.490313479975266
"5.8.2",8,2,5,0.596400670882041
"1.9.2",9,2,1,0.504400785862278
"2.9.2",9,2,2,0.704360919796197
"3.9.2",9,2,3,0.652905891279539
"4.9.2",9,2,4,0.412464056287172
"5.9.2",9,2,5,0.712667892224758
"1.10.2",10,2,1,0.590805371706541
"2.10.2",10,2,2,0.789311747955155
"3.10.2",10,2,3,0.633932171824374
"4.10.2",10,2,4,0.261716469373309
"5.10.2",10,2,5,0.644712011275147
"1.11.2",11,2,1,0.279264845308901
"2.11.2",11,2,2,0.703737473265584
"3.11.2",11,2,3,0.455292482603363
"4.11.2",11,2,4,0.465639412046473
"5.11.2",11,2,5,0.533167858501076
"1.12.2",12,2,1,0.53259590695827
"2.12.2",12,2,2,0.652910404382508
"3.12.2",12,2,3,0.640194509158954
"4.12.2",12,2,4,0.339241938365376
"5.12.2",12,2,5,0.58826116332791
"1.13.2",13,2,1,0.564889270026944
"2.13.2",13,2,2,0.750709808892098
"3.13.2",13,2,3,0.612461308322135
"4.13.2",13,2,4,0.404280373260055
"5.13.2",13,2,5,0.500202647198135
"1.15.2",15,2,1,0.412892386255142
"2.15.2",15,2,2,0.572042702092334
"3.15.2",15,2,3,0.555937556213904
"4.15.2",15,2,4,0.42608889076468
"5.15.2",15,2,5,0.622576192837521
"1.16.2",16,2,1,0.556969678330163
"2.16.2",16,2,2,0.155222209348963
"3.16.2",16,2,3,0.733907386127687
"4.16.2",16,2,4,0.395604735091474
"5.16.2",16,2,5,0.689298746999506
"1.17.2",17,2,1,0.557914241033254
"2.17.2",17,2,2,0.732612452150847
"3.17.2",17,2,3,0.672933045004111
"4.17.2",17,2,4,0.255111290664732
"5.17.2",17,2,5,0.544999671674948
"1.18.2",18,2,1,0.610098647395538
"2.18.2",18,2,2,0.804033505309387
"3.18.2",18,2,3,0.667116096299706
"4.18.2",18,2,4,0.323761355970236
"5.18.2",18,2,5,0.785813791783416
"1.19.2",19,2,1,0.60250578387045
"2.19.2",19,2,2,0.768748223559016
"3.19.2",19,2,3,0.663126274095611
"4.19.2",19,2,4,0.363421447488467
"5.19.2",19,2,5,0.655605449488251
