fips,sex,x.race.g1,x.rfbmi5
18,3,6,0.670303628
19,3,6,0.685619257
20,3,6,0.667100441
21,3,6,0.691348727
22,3,6,0.693213881
23,3,6,0.652020564
24,3,6,0.64481679
25,3,6,0.60009643
26,3,6,0.675985418
27,3,6,0.647076539
28,3,6,0.712340832
29,3,6,0.672511862
30,3,6,0.6279559
31,3,6,0.684981023
32,3,6,0.622947196
33,3,6,0.634036767
34,3,6,0.638674326
35,3,6,0.648551581
36,3,6,0.606949352
37,3,6,0.668656595
38,3,6,0.680973251
39,3,6,0.663186158
40,3,6,0.687794636
41,3,6,0.62765234
42,3,6,0.653459699
44,3,6,0.636777148
45,3,6,0.672606885
46,3,6,0.669301052
47,3,6,0.686383369
48,3,6,0.683826268
49,3,6,0.602305477
50,3,6,0.616936023
51,3,6,0.655860273
53,3,6,0.635786568
54,3,6,0.709399365
55,3,6,0.66117972
56,3,6,0.640757542
66,3,6,0.641409259
72,3,6,0.665317963
78,3,6,0.657413472
