"","fips","sex","x.race.g1","variable","value"
"415",27,1,1,"x.michd",0.077887601
"416",27,1,2,"x.michd",0.022325739
"417",27,1,3,"x.michd",0.039772523
"418",27,1,4,"x.michd",0.036113125
"419",27,1,5,"x.michd",0
"420",27,1,6,"x.michd",0.070160534
"421",27,2,1,"x.michd",0.04124607
"422",27,2,2,"x.michd",0.031368964
"423",27,2,3,"x.michd",0.022101984
"424",27,2,4,"x.michd",0.022628679
"425",27,2,5,"x.michd",0.036737452
"426",27,2,6,"x.michd",0.038884285
"427",27,3,1,"x.michd",0.059162321
"428",27,3,2,"x.michd",0.026899953
"429",27,3,3,"x.michd",0.03149562
"430",27,3,4,"x.michd",0.029467297
"431",27,3,5,"x.michd",0.022043682
"432",27,3,6,"x.michd",0.054249657
"433",28,1,1,"x.michd",0.122816611
"434",28,1,2,"x.michd",0.070935658
"435",28,1,3,"x.michd",0
"436",28,1,4,"x.michd",0.024097513
"437",28,1,5,"x.michd",0.105959928
"438",28,1,6,"x.michd",0.099149648
"439",28,2,1,"x.michd",0.094376102
"440",28,2,2,"x.michd",0.060934268
"441",28,2,3,"x.michd",0.012831104
"442",28,2,4,"x.michd",0.186610313
"443",28,2,5,"x.michd",0.124716132
"444",28,2,6,"x.michd",0.081823665
"445",28,3,1,"x.michd",0.108183728
"446",28,3,2,"x.michd",0.065363174
"447",28,3,3,"x.michd",0.004401302
"448",28,3,4,"x.michd",0.104048806
"449",28,3,5,"x.michd",0.110861269
"450",28,3,6,"x.michd",0.090105066
"451",29,1,1,"x.michd",0.097022743
"452",29,1,2,"x.michd",0.084879981
"453",29,1,3,"x.michd",0.029741015
"454",29,1,4,"x.michd",0.043977284
"455",29,1,5,"x.michd",0.064463698
"456",29,1,6,"x.michd",0.090864973
"457",29,2,1,"x.michd",0.062591305
"458",29,2,2,"x.michd",0.063850553
"459",29,2,3,"x.michd",0.227027767
"460",29,2,4,"x.michd",0.080093633
"461",29,2,5,"x.michd",0.040025719
"462",29,2,6,"x.michd",0.067788572
"463",29,3,1,"x.michd",0.079312076
"464",29,3,2,"x.michd",0.072524793
"465",29,3,3,"x.michd",0.112746333
"466",29,3,4,"x.michd",0.05895899
"467",29,3,5,"x.michd",0.0556888
"468",29,3,6,"x.michd",0.078990089
"469",30,1,1,"x.michd",0.082856193
"470",30,1,2,"x.michd",0.002978141
"471",30,1,3,"x.michd",0
"472",30,1,4,"x.michd",0.104511909
"473",30,1,5,"x.michd",0.099000744
"474",30,1,6,"x.michd",0.081540385
"475",30,2,1,"x.michd",0.041818481
"476",30,2,2,"x.michd",0
"477",30,2,3,"x.michd",0.024082377
"478",30,2,4,"x.michd",0.060812935
"479",30,2,5,"x.michd",0.042959669
"480",30,2,6,"x.michd",0.042483593
"481",30,3,1,"x.michd",0.062320551
"482",30,3,2,"x.michd",0.002287649
"483",30,3,3,"x.michd",0.01307748
"484",30,3,4,"x.michd",0.081249781
"485",30,3,5,"x.michd",0.077001963
"486",30,3,6,"x.michd",0.061957947
"487",31,1,1,"x.michd",0.079582623
"488",31,1,2,"x.michd",0.009510071
"489",31,1,3,"x.michd",0.022076894
"490",31,1,4,"x.michd",0.046993323
"491",31,1,5,"x.michd",0.109641136
"492",31,1,6,"x.michd",0.070908597
"493",31,2,1,"x.michd",0.049581
"494",31,2,2,"x.michd",0.068019121
"495",31,2,3,"x.michd",0.021955795
"496",31,2,4,"x.michd",0.045644177
"497",31,2,5,"x.michd",0.029192852
"498",31,2,6,"x.michd",0.047762228
"499",31,3,1,"x.michd",0.064213138
"500",31,3,2,"x.michd",0.040879012
"501",31,3,3,"x.michd",0.02202014
"502",31,3,4,"x.michd",0.046355888
"503",31,3,5,"x.michd",0.069198271
